City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1084,Savelugu,GH,86.58,broken clouds,9.62,-0.83,Yoo Naa's Palace
1090,Bungu,TZ,73.44,broken clouds,-7.63,39.06,Jaja Lodge
1091,Nisia Floresta,BR,87.8,scattered clouds,-6.09,-35.21,Rancho Crepusculo
1094,Labuhan,ID,78.91,clear sky,-6.88,112.21,bador sepret
1095,Bella Union,UY,82.9,broken clouds,-30.28,-57.6,Hotel Oriente
1098,Lazaro Cardenas,MX,84.87,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
1099,Oswego,US,73.4,clear sky,43.45,-76.15,S & E Mobile Home Park
1104,Ouesso,CG,72.93,overcast clouds,1.61,16.05,Hôtel ABENI
1106,Freeport,US,75.0,clear sky,40.66,-73.58,The Freeport Inn and Marina
1115,Caravelas,BR,81.12,light rain,-17.71,-39.25,Pousada dos Navegantes
1117,Lat Yao,TH,74.48,broken clouds,15.75,99.79,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
1118,Les Abymes,GP,86.0,few clouds,16.27,-61.5,Établissement Bristol
1119,Ilhabela,BR,72.7,scattered clouds,-23.78,-45.36,Ilha Flat Hotel
1120,Capelinha,BR,72.09,clear sky,-17.69,-42.52,Marinho Plaza Hotel
1121,Davila,PH,80.6,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
1123,Graaff-Reinet,ZA,73.99,overcast clouds,-32.25,24.53,Rietjiesbos B&B
1129,Guerrero Negro,MX,72.59,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
1130,Karratha,AU,71.49,clear sky,-20.74,116.85,ibis Styles Karratha
1134,Sobradinho,BR,82.85,scattered clouds,-12.83,-39.1,Pousada Pau Brasil
1138,Daru,PG,77.77,overcast clouds,-9.08,143.21,New century hotel
1141,Lufilufi,WS,78.8,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
1143,Mahibadhoo,MV,83.97,light rain,3.78,72.97,Omadhoo Inn
1145,Balabac,PH,80.37,overcast clouds,7.99,117.06,Sing and Swing Lodge
1147,Alofi,NU,75.2,few clouds,-19.06,-169.92,Taloa Heights
1150,Inhambane,MZ,80.6,clear sky,-23.86,35.38,Oceano
1151,Iquitos,PE,87.8,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
1152,Mayo,US,75.0,clear sky,38.89,-76.51,Resorts Resource Group International
1153,Trenggalek,ID,74.52,clear sky,-8.05,111.72,OYO 2966 Hotel Atriaz
1162,Sonaguera,HN,82.4,broken clouds,15.63,-86.33,Juan Lázaro Sonaguera colon Honduras
1165,Tual,ID,82.65,broken clouds,-5.67,132.75,Grand Vilia Hotel
1167,Lorengau,PG,81.1,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
1175,Quang Ngai,VN,72.28,light rain,15.12,108.8,Central Hotel
1176,Newton,US,75.99,overcast clouds,42.34,-71.21,Hotel Indigo Boston - Newton Riverside
1177,Kununurra,AU,73.4,clear sky,-15.77,128.73,Hotel Kununurra
1178,Pundaguitan,PH,81.19,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
1179,Mananjary,MG,73.09,clear sky,-21.22,48.33,Vahiny Lodge
1187,Maiduguri,NG,77.7,clear sky,11.85,13.16,College of Nursing & Midwifery Female's Hostel
1188,Monrovia,LR,82.4,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
1193,Westport,US,73.99,clear sky,41.14,-73.36,The Westport Inn
1194,Jalingo,NG,80.58,overcast clouds,8.88,11.37,Debright Motel
1195,Amarante Do Maranhao,BR,88.99,clear sky,-5.57,-46.74,Hotéis Caçulinha
1202,Namibe,AO,71.06,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
1207,Riyadh,SA,73.4,clear sky,24.69,46.72,InterContinental Riyadh
1211,Les Cayes,HT,80.87,overcast clouds,18.2,-73.75,Villa Orphee
